Freq.	V(vout)
2.00000000000000e+001	2.90180636126483e+001
2.04658598456151e+001	2.92053910046666e+001
2.09425709610180e+001	2.93893938610662e+001
2.14303861047521e+001	2.95700126371452e+001
2.19295639228637e+001	2.97471925978542e+001
2.24403690860393e+001	2.99208839076770e+001
2.29630724299377e+001	3.00910416981487e+001
2.34979510987906e+001	3.02576261128921e+001
2.40452886923483e+001	3.04206023302098e+001
2.46053754162476e+001	3.05799405634157e+001
2.51785082358833e+001	3.07356160392634e+001
2.57649910338627e+001	3.08876089549501e+001
2.63651347711281e+001	3.10359044143566e+001
2.69792576518331e+001	3.11804923442844e+001
2.76076852920577e+001	3.13213673916006e+001
2.82507508924551e+001	3.14585288023028e+001
2.89087954149185e+001	3.15919802836437e+001
2.95821677633641e+001	3.17217298504977e+001
3.02712249687242e+001	3.18477896573024e+001
3.09763323782496e+001	3.19701758168985e+001
3.16978638492223e+001	3.20889082076937e+001
3.24362019471786e+001	3.22040102705885e+001
3.31917381487512e+001	3.23155087971197e+001
3.39648730492349e+001	3.24234337103077e+001
3.47560165749875e+001	3.25278178396468e+001
3.55655882007784e+001	3.26286966917116e+001
3.63940171721997e+001	3.27261082177667e+001
3.72417427332573e+001	3.28200925797639e+001
3.81092143592649e+001	3.29106919160413e+001
3.89968919951609e+001	3.29979501079817e+001
3.99052462993776e+001	3.30819125488176e+001
4.08347588933906e+001	3.31626259156997e+001
4.17859226170808e+001	3.32401379460619e+001
4.27592417900446e+001	3.33144972192377e+001
4.37552324789910e+001	3.33857529441890e+001
4.47744227713668e+001	3.34539547541438e+001
4.58173530553554e+001	3.35191525088208e+001
4.68845763063984e+001	3.35813961048655e+001
4.79766583803898e+001	3.36407352950236e+001
4.90941783137006e+001	3.36972195165034e+001
5.02377286301916e+001	3.37508977288924e+001
5.14079156553772e+001	3.38018182619536e+001
5.26053598379076e+001	3.38500286735133e+001
5.38306960785383e+001	3.38955756176319e+001
5.50845740667633e+001	3.39385047231766e+001
5.63676586252890e+001	3.39788604828654e+001
5.76806300625321e+001	3.40166861528029e+001
5.90241845333277e+001	3.40520236625053e+001
6.03990344080403e+001	3.40849135353587e+001
6.18059086502718e+001	3.41153948194438e+001
6.32455532033675e+001	3.41435050286220e+001
6.47187313859256e+001	3.41692800937689e+001
6.62262242965182e+001	3.41927543240270e+001
6.77688312278404e+001	3.42139603779246e+001
6.93473700905062e+001	3.42329292442170e+001
7.09626778467150e+001	3.42496902322902e+001
7.26156109540202e+001	3.42642709719642e+001
7.43070458194344e+001	3.42766974225373e+001
7.60378792641121e+001	3.42869938908950e+001
7.78090289988560e+001	3.42951830585354e+001
7.96214341106993e+001	3.43012860173271e+001
8.14760555608224e+001	3.43053223138375e+001
8.33738766940670e+001	3.43073100020623e+001
8.53159037603184e+001	3.43072657043670e+001
8.73031664480331e+001	3.43052046804705e+001
8.93367184301925e+001	3.43011409042607e+001
9.14176379229749e+001	3.42950871482457e+001
9.35470282574395e+001	3.42870550754037e+001
9.57260184645275e+001	3.42770553382090e+001
9.79557638736891e+001	3.42650976845333e+001
1.00237446725454e+002	3.42511910701672e+001
1.02572276798273e+002	3.42353437776015e+001
1.04961492049954e+002	3.42175635407349e+001
1.07406359274050e+002	3.41978576750903e+001
1.09908174771525e+002	3.41762332131173e+001
1.12468265038070e+002	3.41526970440847e+001
1.15087987467431e+002	3.41272560580447e+001
1.17768731071118e+002	3.40999172932835e+001
1.20511917214871e+002	3.40706880866321e+001
1.23319000372296e+002	3.40395762259733e+001
1.26191468896038e+002	3.40065901041902e+001
1.29130845806931e+002	3.39717388738243e+001
1.32138689601519e+002	3.39350326015820e+001
1.35216595078396e+002	3.38964824218546e+001
1.38366194183787e+002	3.38561006883404e+001
1.41589156876827e+002	3.38139011228416e+001
1.44887192014998e+002	3.37698989602657e+001
1.48262048260183e+002	3.37241110888645e+001
1.51715515005836e+002	3.36765561847035e+001
1.55249423325738e+002	3.36272548393812e+001
1.58865646944856e+002	3.35762296799979e+001
1.62566103232819e+002	3.35235054804072e+001
1.66352754220534e+002	3.34691092628028e+001
1.70227607640475e+002	3.34130703887240e+001
1.74192717991216e+002	3.33554206386280e+001
1.78250187626749e+002	3.32961942792113e+001
1.82402167871181e+002	3.32354281177564e+001
1.86650860159398e+002	3.31731615428251e+001
1.90998517204287e+002	3.31094365507357e+001
1.95447444191162e+002	3.30442977573409e+001
1.99999999999999e+002	3.29777923947094e+001
2.04658598456150e+002	3.29099702924604e+001
2.09425709610179e+002	3.28408838435572e+001
2.14303861047521e+002	3.27705879545305e+001
2.19295639228636e+002	3.26991399801847e+001
2.24403690860392e+002	3.26265996429673e+001
2.29630724299376e+002	3.25530289373043e+001
2.34979510987905e+002	3.24784920193156e+001
2.40452886923482e+002	3.24030550824166e+001
2.46053754162476e+002	3.23267862194601e+001
2.51785082358833e+002	3.22497552721314e+001
2.57649910338626e+002	3.21720336684373e+001
2.63651347711281e+002	3.20936942491979e+001
2.69792576518330e+002	3.20148110845495e+001
2.76076852920576e+002	3.19354592815236e+001
2.82507508924550e+002	3.18557147838442e+001
2.89087954149185e+002	3.17756541651397e+001
2.95821677633641e+002	3.16953544168043e+001
3.02712249687241e+002	3.16148927317873e+001
3.09763323782495e+002	3.15343462856283e+001
3.16978638492222e+002	3.14537920160342e+001
3.24362019471785e+002	3.13733064023618e+001
3.31917381487511e+002	3.12929652463012e+001
3.39648730492348e+002	3.12128434551060e+001
3.47560165749874e+002	3.11330148286342e+001
3.55655882007783e+002	3.10535518514957e+001
3.63940171721995e+002	3.09745254914910e+001
3.72417427332572e+002	3.08960050055393e+001
3.81092143592648e+002	3.08180577541981e+001
3.89968919951608e+002	3.07407490258051e+001
3.99052462993775e+002	3.06641418712216e+001
4.08347588933904e+002	3.05882969500528e+001
4.17859226170806e+002	3.05132723891326e+001
4.27592417900445e+002	3.04391236539594e+001
4.37552324789909e+002	3.03659034336781e+001
4.47744227713666e+002	3.02936615400791e+001
4.58173530553553e+002	3.02224448209827e+001
4.68845763063983e+002	3.01522970882645e+001
4.79766583803896e+002	3.00832590606505e+001
4.90941783137004e+002	3.00153683213120e+001
5.02377286301914e+002	2.99486592901578e+001
5.14079156553771e+002	2.98831632106281e+001
5.26053598379074e+002	2.98189081506771e+001
5.38306960785381e+002	2.97559190175147e+001
5.50845740667631e+002	2.96942175856283e+001
5.63676586252888e+002	2.96338225374533e+001
5.76806300625319e+002	2.95747495160359e+001
5.90241845333275e+002	2.95170111889325e+001
6.03990344080401e+002	2.94606173225296e+001
6.18059086502716e+002	2.94055748659357e+001
6.32455532033673e+002	2.93518880435334e+001
6.47187313859254e+002	2.92995584552655e+001
6.62262242965179e+002	2.92485851837100e+001
6.77688312278402e+002	2.91989649069823e+001
6.93473700905060e+002	2.91506920165082e+001
7.09626778467148e+002	2.91037587387399e+001
7.26156109540200e+002	2.90581552598653e+001
7.43070458194342e+002	2.90138698526455e+001
7.60378792641119e+002	2.89708890045012e+001
7.78090289988558e+002	2.89291975460465e+001
7.96214341106991e+002	2.88887787792895e+001
8.14760555608222e+002	2.88496146047977e+001
8.33738766940667e+002	2.88116856471543e+001
8.53159037603181e+002	2.87749713781149e+001
8.73031664480328e+002	2.87394502369131e+001
8.93367184301922e+002	2.87050997472388e+001
9.14176379229746e+002	2.86718966304693e+001
9.35470282574392e+002	2.86398169147819e+001
9.57260184645272e+002	2.86088360398534e+001
9.79557638736888e+002	2.85789289569001e+001
1.00237446725454e+003	2.85500702238501e+001
1.02572276798272e+003	2.85222340955237e+001
1.04961492049954e+003	2.84953946087101e+001
1.07406359274050e+003	2.84695256621019e+001
1.09908174771524e+003	2.84446010910600e+001
1.12468265038069e+003	2.84205947372496e+001
1.15087987467431e+003	2.83974805131957e+001
1.17768731071117e+003	2.83752324618487e+001
1.20511917214871e+003	2.83538248112761e+001
1.23319000372296e+003	2.83332320246017e+001
1.26191468896038e+003	2.83134288453694e+001
1.29130845806930e+003	2.82943903384748e+001
1.32138689601518e+003	2.82760919268644e+001
1.35216595078396e+003	2.82585094241859e+001
1.38366194183787e+003	2.82416190635882e+001
1.41589156876827e+003	2.82253975228764e+001
1.44887192014997e+003	2.82098219462224e+001
1.48262048260183e+003	2.81948699626440e+001
1.51715515005836e+003	2.81805197014512e+001
1.55249423325738e+003	2.81667498048674e+001
1.58865646944855e+003	2.81535394380209e+001
1.62566103232819e+003	2.81408682965019e+001
1.66352754220533e+003	2.81287166116744e+001
1.70227607640474e+003	2.81170651539273e+001
1.74192717991215e+003	2.81058952340327e+001
1.78250187626748e+003	2.80951887027814e+001
1.82402167871181e+003	2.80849279490654e+001
1.86650860159397e+003	2.80750958965415e+001
1.90998517204286e+003	2.80656759990344e+001
1.95447444191161e+003	2.80566522348062e+001
1.99999999999999e+003	2.80480090998194e+001
2.04658598456150e+003	2.80397316001224e+001
2.09425709610179e+003	2.80318052434553e+001
2.14303861047520e+003	2.80242160301820e+001
2.19295639228636e+003	2.80169504436614e+001
2.24403690860391e+003	2.80099954401156e+001
2.29630724299375e+003	2.80033384381061e+001
2.34979510987905e+003	2.79969673076779e+001
2.40452886923481e+003	2.79908703592451e+001
2.46053754162475e+003	2.79850363322714e+001
2.51785082358832e+003	2.79794543838253e+001
