Freq.	V(vout)
Step Information: G=15.625m  (Run: 1/7)
2.00000000000000e+001	(2.86275950845803e+001dB,6.72491429779755e+001°)
2.04658598456151e+001	(2.87911304697437e+001dB,6.63081403780168e+001°)
2.09425709610180e+001	(2.89509432287248e+001dB,6.53613458241182e+001°)
2.14303861047521e+001	(2.91070020137917e+001dB,6.44095072889821e+001°)
2.19295639228637e+001	(2.92592814576807e+001dB,6.34533790053135e+001°)
2.24403690860393e+001	(2.94077621846255e+001dB,6.24937190724952e+001°)
2.29630724299377e+001	(2.95524307959911e+001dB,6.15312870809717e+001°)
2.34979510987906e+001	(2.96932798310120e+001dB,6.05668417673880e+001°)
2.40452886923483e+001	(2.98303077033027e+001dB,5.96011387130493e+001°)
2.46053754162476e+001	(2.99635186139692e+001dB,5.86349280976833e+001°)
2.51785082358833e+001	(3.00929224422963e+001dB,5.76689525198065e+001°)
2.57649910338627e+001	(3.02185346151218e+001dB,5.67039448942334e+001°)
2.63651347711281e+001	(3.03403759561249e+001dB,5.57406264364352e+001°)
2.69792576518331e+001	(3.04584725163619e+001dB,5.47797047425638e+001°)
2.76076852920577e+001	(3.05728553874708e+001dB,5.38218719730253e+001°)
2.82507508924551e+001	(3.06835604990359e+001dB,5.28678031465230e+001°)
2.89087954149185e+001	(3.07906284016630e+001dB,5.19181545505093e+001°)
2.95821677633641e+001	(3.08941040373537e+001dB,5.09735622730014e+001°)
3.02712249687242e+001	(3.09940364987951e+001dB,5.00346408597356e+001°)
3.09763323782496e+001	(3.10904787791918e+001dB,4.91019820996688e+001°)
3.16978638492223e+001	(3.11834875142643e+001dB,4.81761539408982e+001°)
3.24362019471786e+001	(3.12731227180282e+001dB,4.72576995381609e+001°)
3.31917381487512e+001	(3.13594475139376e+001dB,4.63471364322026e+001°)
3.39648730492349e+001	(3.14425278629467e+001dB,4.54449558604771e+001°)
3.47560165749875e+001	(3.15224322899947e+001dB,4.45516221978544e+001°)
3.55655882007784e+001	(3.15992316103705e+001dB,4.36675725252812e+001°)
3.63940171721997e+001	(3.16729986573521e+001dB,4.27932163236493e+001°)
3.72417427332573e+001	(3.17438080124507e+001dB,4.19289352894971e+001°)
3.81092143592649e+001	(3.18117357395194e+001dB,4.10750832685834e+001°)
3.89968919951609e+001	(3.18768591239105e+001dB,4.02319863028409e+001°)
3.99052462993776e+001	(3.19392564177850e+001dB,3.93999427857380e+001°)
4.08347588933906e+001	(3.19990065925987e+001dB,3.85792237206444e+001°)
4.17859226170808e+001	(3.20561890996978e+001dB,3.77700730764195e+001°)
4.27592417900446e+001	(3.21108836398762e+001dB,3.69727082341125e+001°)
4.37552324789910e+001	(3.21631699426514e+001dB,3.61873205183820e+001°)
