time	V(vout)
0.000000000000000e+000	-9.281601e-002
3.216976856793702e-007	-1.562418e-002
9.650930570381106e-007	1.372386e-001
2.251883799753857e-006	4.381699e-001
4.123001878613558e-006	8.671076e-001
6.123001878613824e-006	1.311463e+000
8.123001878614089e-006	1.734977e+000
1.012300187861435e-005	2.130926e+000
1.212300187861462e-005	2.493009e+000
1.412300187861489e-005	2.815584e+000
1.612300187861515e-005	3.093520e+000
1.812300187861542e-005	3.322413e+000
2.012300187861568e-005	3.498652e+000
2.212300187861595e-005	3.619454e+000
2.412300187861621e-005	3.682935e+000
2.612300187861648e-005	3.688116e+000
2.812300187861674e-005	3.634956e+000
3.012300187861701e-005	3.524345e+000
3.212300187861727e-005	3.358099e+000
3.412300187861754e-005	3.138926e+000
3.612300187861781e-005	2.870383e+000
3.812300187861807e-005	2.556820e+000
4.012300187861834e-005	2.203307e+000
4.212300187861860e-005	1.815571e+000
4.412300187861887e-005	1.399927e+000
4.612300187861913e-005	9.632677e-001
4.812300187861940e-005	5.140709e-001
4.933338879829947e-005	2.398373e-001
4.981754356617185e-005	1.330022e-001
5.006163080631051e-005	8.135329e-002
5.021307666248746e-005	5.173843e-002
5.034414179387603e-005	2.886372e-002
5.043232583127472e-005	1.578269e-002
5.051080891760318e-005	6.269048e-003
5.057454242394545e-005	-1.394219e-004
5.063158509941573e-005	-5.400744e-003
5.068603991814982e-005	-1.113088e-002
5.074237413760056e-005	-2.057734e-002
5.077150101876447e-005	-3.589255e-002
5.078927010269789e-005	-6.323968e-002
5.081356319030887e-005	-1.206967e-001
5.082405511744846e-005	-1.415328e-001
5.083906116581417e-005	-1.597463e-001
5.085439611814992e-005	-1.710182e-001
5.087324931851711e-005	-1.784145e-001
5.090188447304592e-005	-1.838204e-001
5.093568997935685e-005	-1.869453e-001
5.098750271118231e-005	-1.904739e-001
5.105248663951276e-005	-1.961561e-001
5.115659818943040e-005	-2.088322e-001
5.129969066160721e-005	-2.324771e-001
5.154810741662790e-005	-2.837842e-001
5.191512498227066e-005	-3.675343e-001
5.262893799119414e-005	-5.336084e-001
5.329098930106392e-005	-6.863655e-001
5.461509192080348e-005	-9.862626e-001
5.661509192080375e-005	-1.425006e+000
5.861509192080401e-005	-1.841876e+000
6.061509192080428e-005	-2.229200e+000
6.261509192080454e-005	-2.581100e+000
6.461509192080481e-005	-2.892320e+000
6.661509192080507e-005	-3.158182e+000
6.861509192080534e-005	-3.374735e+000
7.061509192080560e-005	-3.538754e+000
7.261509192080587e-005	-3.649628e+000
