Freq.	V(vout)
2.00000000000000e+001	-7.19146267249047e+000
2.04658598456151e+001	-7.01014031911768e+000
2.09425709610180e+001	-6.83227703790834e+000
2.14303861047521e+001	-6.65792900721803e+000
2.19295639228637e+001	-6.48714698451101e+000
2.24403690860393e+001	-6.31997618579921e+000
2.29630724299377e+001	-6.15645618828484e+000
2.34979510987906e+001	-5.99662085657811e+000
2.40452886923483e+001	-5.84049829273315e+000
2.46053754162476e+001	-5.68811081015443e+000
2.51785082358833e+001	-5.53947493132330e+000
2.57649910338627e+001	-5.39460140909556e+000
2.63651347711281e+001	-5.25349527119932e+000
2.69792576518331e+001	-5.11615588740981e+000
2.76076852920577e+001	-4.98257705872879e+000
2.82507508924551e+001	-4.85274712777329e+000
2.89087954149185e+001	-4.72664910944217e+000
2.95821677633641e+001	-4.60426084081540e+000
3.02712249687242e+001	-4.48555514912839e+000
3.09763323782496e+001	-4.37050003656019e+000
3.16978638492223e+001	-4.25905888049509e+000
3.24362019471786e+001	-4.15119064783204e+000
3.31917381487512e+001	-4.04685012185259e+000
3.39648730492349e+001	-3.94598814010649e+000
3.47560165749875e+001	-3.84855184173936e+000
3.55655882007784e+001	-3.75448492264590e+000
3.63940171721997e+001	-3.66372789684004e+000
3.72417427332573e+001	-3.57621836241000e+000
3.81092143592649e+001	-3.49189127046246e+000
3.89968919951609e+001	-3.41067919546304e+000
3.99052462993776e+001	-3.33251260543362e+000
4.08347588933906e+001	-3.25732013051895e+000
4.17859226170808e+001	-3.18502882847402e+000
4.27592417900446e+001	-3.11556444572802e+000
4.37552324789910e+001	-3.04885167272752e+000
4.47744227713668e+001	-2.98481439238075e+000
4.58173530553554e+001	-2.92337592050035e+000
4.68845763063984e+001	-2.86445923725219e+000
4.79766583803898e+001	-2.80798720873805e+000
4.90941783137006e+001	-2.75388279792260e+000
5.02377286301916e+001	-2.70206926426946e+000
5.14079156553772e+001	-2.65247035152394e+000
5.26053598379076e+001	-2.60501046323146e+000
5.38306960785383e+001	-2.55961482567461e+000
5.50845740667633e+001	-2.51620963802704e+000
5.63676586252890e+001	-2.47472220962499e+000
5.76806300625321e+001	-2.43508108437927e+000
5.90241845333277e+001	-2.39721615241300e+000
6.03990344080403e+001	-2.36105874913113e+000
6.18059086502718e+001	-2.32654174199438e+000
6.32455532033675e+001	-2.29359960534500e+000
6.47187313859256e+001	-2.26216848369370e+000
6.62262242965182e+001	-2.23218624395540e+000
6.77688312278404e+001	-2.20359251713510e+000
6.93473700905062e+001	-2.17632873003302e+000
7.09626778467150e+001	-2.15033812755760e+000
7.26156109540202e+001	-2.12556578626201e+000
7.43070458194344e+001	-2.10195861972189e+000
7.60378792641121e+001	-2.07946537640454e+000
7.78090289988560e+001	-2.05803663065426e+000
7.96214341106993e+001	-2.03762476743051e+000
8.14760555608224e+001	-2.01818396141736e+000
8.33738766940670e+001	-1.99967015111226e+000
8.53159037603184e+001	-1.98204100847302e+000
8.73031664480331e+001	-1.96525590468914e+000
8.93367184301925e+001	-1.94927587261132e+000
9.14176379229749e+001	-1.93406356634392e+000
9.35470282574395e+001	-1.91958321847820e+000
9.57260184645275e+001	-1.90580059541359e+000
9.79557638736891e+001	-1.89268295117118e+000
1.00237446725454e+002	-1.88019898009244e+000
1.02572276798273e+002	-1.86831876876158e+000
1.04961492049954e+002	-1.85701374747508e+000
1.07406359274050e+002	-1.84625664153831e+000
1.09908174771525e+002	-1.83602142265816e+000
